,,,Split 1,,,,Split 2,,,,Split 3,,,
140,CCOP(=O)(c1ccccc1)SC(c1ccccc1)c1ccccc1,4.44,48.46526,5.0515,-0.6115,Tr,39.76442,5.2841,-0.8441,ST,44.87395,5.3855,-0.9455,Ca
141,CSP(=O)(OC(C)C)OC(C)C,1.77,38.54605,2.419,-0.649,Tr,29.79148,2.5245,-0.7545,Ca,34.22373,2.1433,-0.3733,ST
142,CCOP(=O)(c1ccccc1)SC,2.46,40.83899,3.0275,-0.5675,Va,32.46838,3.2652,-0.8052,Va,37.99513,3.2914,-0.8314,Va
143,CCOP(=O)(c1ccccc1)SCC,2.58,41.96253,3.3257,-0.7457,Va,33.47816,3.5446,-0.9646,Va,39.21187,3.6618,-1.0818,Va
144,CCCSP(=O)(c1ccccc1)OCC,2.41,40.33611,2.8941,-0.4841,Tr,31.90542,3.1094,-0.6994,Ca,37.02344,2.9956,-0.5856,ST
145,CCCCSP(=O)(c1ccccc1)OCC,2.76,40.86689,3.0349,-0.2749,Tr,32.44201,3.2579,-0.4979,Ca,37.55242,3.1566,-0.3966,ST
146,CCCCCSP(=O)(c1ccccc1)OCC,3.06,41.39767,3.1758,-0.1158,Tr,32.97861,3.4064,-0.3464,ST,38.0814,3.3177,-0.2577,Ca
147,CCCCCCSP(=O)(c1ccccc1)OCC,3.33,41.92845,3.3167,0.0133,Te,33.51521,3.5549,-0.2249,Te,38.61038,3.4787,-0.1487,Te
148,CCOP(=O)(SCCSCc1ccccc1)C,7.4,52.87687,6.2223,1.1777,Tr,43.44163,6.3016,1.0984,Ca,47.96392,6.3262,1.0738,ST
149,CCOP(=O)(OCC)SCCSCc1ccccc1,4.2,50.49021,5.5889,-1.3889,Tr,40.33151,5.441,-1.241,Ca,44.89674,5.3925,-1.1925,ST
150,CCCCOP(=O)(SCCSCc1ccccc1)C,7.4,53.93843,6.5041,0.8959,Tr,44.51482,6.5986,0.8014,Ca,49.02188,6.6483,0.7517,ST
151,CCOP(=O)(c1ccccc1)SCCSCc1ccccc1,4.83,52.10343,6.0171,-1.1871,Te,42.6021,6.0693,-1.2393,Te,47.84426,6.2898,-1.4598,Te
152,CCOP(=O)(SCCSc1ccccc1)C,5.57,51.83767,5.9465,-0.3765,Tr,42.50072,6.0413,-0.4713,Ca,46.96927,6.0234,-0.4534,ST
153,CCCCOP(=O)(SCCSc1ccccc1)C,7.23,52.89923,6.2283,1.0017,Va,43.57391,6.3382,0.8918,Va,48.02723,6.3455,0.8845,Va
154,CCCCOP(=O)(OCCCC)SCCSc1ccccc1,6.18,51.57413,5.8766,0.3034,Tr,41.53698,5.7746,0.4054,Ca,46.01801,5.7338,0.4462,ST
155,CCOP(=O)(c1ccccc1)SCCSc1ccccc1,5.04,51.06423,5.7413,-0.7013,Va,41.66119,5.809,-0.769,Va,46.84961,5.987,-0.947,Va
156,CCOP(=O)(SCCSCc1ccc(cc1)C)C,4.45,49.48135,5.3212,-0.8712,Tr,38.81906,5.0225,-0.5725,Ca,44.16611,5.17,-0.72,ST
157,CCSCCSP(=O)(C/C=C/CCC)OCC,2.18,37.06558,2.0261,0.1539,Tr,28.39699,2.1386,0.0414,Ca,33.27014,1.853,0.327,ST
158,CCCSCCSP(=O)(C/C=C/CCC)OCC,2.45,37.59635,2.167,0.283,Te,28.93359,2.2871,0.1629,Te,33.79912,2.014,0.436,Te
159,CCCCSCCSP(=O)(C/C=C/CCC)OCC,2.6,38.12713,2.3078,0.2922,Tr,29.47018,2.4356,0.1644,ST,34.3281,2.175,0.425,Ca
160,CCCCCSCCSP(=O)(C/C=C/CCC)OCC,2.46,38.65791,2.4487,0.0113,Tr,30.00678,2.5841,-0.1241,Ca,34.85707,2.3361,0.1239,ST
161,CCCCCCSCCSP(=O)(C/C=C/CCC)OCC,3.11,39.18869,2.5896,0.5204,Va,30.54337,2.7325,0.3775,Va,35.38605,2.4971,0.6129,Va
162,CCCCCCCSCCSP(=O)(C/C=C/CCC)OCC,2.92,39.71947,2.7304,0.1896,Va,31.07997,2.881,0.039,Va,35.91503,2.6582,0.2618,Va
163,CCCCCCCCSCCSP(=O)(C/C=C/CCC)OCC,2.98,40.25024,2.8713,0.1087,Va,31.61656,3.0295,-0.0495,Va,36.44401,2.8192,0.1608,Va
164,CCCCCCCCCSCCSP(=O)(C/C=C/CCC)OCC,3.18,40.78102,3.0122,0.1678,Va,32.15316,3.178,0.002,Va,36.97299,2.9802,0.1998,Va
165,CCC/C=C/CP(=O)(SCC[S+](CC)C)OCC,5,47.82425,4.8814,0.1186,Tr,38.49581,4.9331,0.0669,ST,43.16318,4.8647,0.1353,Ca
166,CCC/C=C/CP(=O)(SCC[S+](CCC)C)OCC,4.85,48.35502,5.0223,-0.1723,Tr,39.03241,5.0816,-0.2316,Ca,43.69216,5.0258,-0.1758,ST
167,CCC/C=C/CP(=O)(SCC[S+](CCCC)C)OCC,5.04,48.8858,5.1631,-0.1231,Te,39.569,5.23,-0.19,Te,44.22114,5.1868,-0.1468,Te
168,CCCCC[S+](CCSP(=O)(C/C=C/CCC)OCC)C,5.52,48.5774,5.0813,0.4387,Tr,39.20336,5.1289,0.3911,Ca,43.98939,5.1162,0.4038,ST
169,CCCCCC[S+](CCSP(=O)(C/C=C/CCC)OCC)C,5.97,49.10818,5.2221,0.7479,Tr,39.73996,5.2773,0.6927,ST,44.51837,5.2773,0.6927,Ca
170,CCCCCC[S+](CCSP(=O)(c1ccccc1)OCC)C,8.14,58.72476,7.7743,0.3657,Tr,48.37566,7.667,0.473,Ca,52.86894,7.8195,0.3205,ST
171,CCCCCCC[S+](CCSP(=O)(C/C=C/CCC)OCC)C,5,49.63896,5.363,-0.363,Va,40.27655,5.4258,-0.4258,Va,45.04735,5.4383,-0.4383,Va
172,CCCCCCCC[S+](CCSP(=O)(C/C=C/CCC)OCC)C,4.08,50.16974,5.5039,-1.4239,Tr,40.81315,5.5743,-1.4943,ST,45.57633,5.5994,-1.5194,Ca
173,CCCCCCCCC[S+](CCSP(=O)(C/C=C/CCC)OCC)C,5.45,50.70052,5.6447,-0.1947,Tr,41.34975,5.7228,-0.2728,Ca,46.10531,5.7604,-0.3104,ST
174,CCOP(=O)(SCCS(=O)C)C,5.46,51.38913,5.8275,-0.3675,Va,42.1422,5.9421,-0.4821,Va,46.3339,5.83,-0.37,Va
175,CCOP(=O)(SCCS(=O)CC)C,5.18,52.61601,6.1531,-0.9731,Va,43.59062,6.3429,-1.1629,Va,47.62837,6.2241,-1.0441,Va
176,CCCS(=O)CCSP(=O)(OCC)C,5.51,50.39612,5.564,-0.054,Te,40.57828,5.5093,0.0007,Te,45.27905,5.5089,0.0011,Te
177,CCCCS(=O)CCSP(=O)(OCC)C,5.68,50.9269,5.7048,-0.0248,Tr,41.11488,5.6578,0.0222,ST,45.80803,5.6699,0.0101,Ca
178,CCCCCS(=O)CCSP(=O)(OCC)C,5.86,51.45768,5.8457,0.0143,Tr,41.65147,5.8063,0.0537,Ca,46.33701,5.8309,0.0291,ST
179,CCCCCCS(=O)CCSP(=O)(OCC)C,5.96,51.98846,5.9866,-0.0266,Tr,42.18807,5.9548,0.0052,ST,46.86599,5.992,-0.032,Ca
180,CC(C(C)(C)C)OP(=O)(F)C,7.96,58.01764,7.5867,0.3733,Tr,47.73233,7.4889,0.4711,ST,52.51814,7.7127,0.2473,Ca
181,CC(OP(=O)(F)C)C,7.2,53.40619,6.3628,0.8372,Tr,43.77469,6.3938,0.8062,Ca,47.79762,6.2756,0.9244,ST
182,CCOP(=O)(N(C)C)CN,6.57,54.60681,6.6814,-0.1114,Tr,44.50568,6.5961,-0.0261,Ca,49.06539,6.6615,-0.0915,ST
183,CCOP(=O)(SCCN(C(C)C)C(C)C)C,7.84,57.77131,7.5213,0.3187,Te,46.58274,7.1708,0.6692,Te,52.33769,7.6577,0.1823,Te
184,CCOP(=O)(Oc1ccc2c(c1)[n+](C)ccc2)C,8.935,62.76179,8.8457,0.0893,Tr,51.57126,8.5512,0.3838,Ca,56.55581,8.9419,-0.0069,ST
185,CC(OP(=O)(OC(C)C)F)C,4.7,51.25506,5.7919,-1.0919,Tr,41.07016,5.6454,-0.9454,Ca,46.10262,5.7596,-1.0596,ST
186,CCCCOP(=O)(O/N=C(/CCl)\Cl)OCCCC,6.06,50.62651,5.6251,0.4349,Va,40.93533,5.6081,0.4519,Va,45.59068,5.6037,0.4563,Va
187,CCCCCOP(=O)(O/N=C(/CCl)\Cl)OCCCCC,5.91,51.68806,5.9068,0.0032,Tr,42.00852,5.9051,0.0049,Ca,46.64864,5.9258,-0.0158,ST
188,ClC/C(=N\OP(=O)(OC)OC)/Cl,4.96,48.22686,4.9882,-0.0282,Tr,39.14613,5.113,-0.153,Ca,43.50582,4.969,-0.009,ST
189,CCOP(=O)(O/N=C(\CCl)/Cl)OCC,4.83,48.44748,5.0468,-0.2168,Va,37.94926,4.7818,0.0482,Va,43.79168,5.0561,-0.2261,Va
190,CCCOP(=O)(O/N=C(\CCl)/Cl)OCCC,5.25,49.50904,5.3285,-0.0785,Va,39.02246,5.0788,0.1712,Va,44.84964,5.3781,-0.1281,Va
191,COP(=O)(O/N=C(/Cl)\C)OC,4.04,41.99034,3.3331,0.7069,Tr,32.17847,3.185,0.855,ST,37.52521,3.1483,0.8917,Ca
192,CCCCOP(=O)(O/N=C(/Cl)\C)OCCCC,3.47,46.6087,4.5588,-1.0888,Tr,37.02922,4.5273,-1.0573,Ca,41.38507,4.3234,-0.8534,ST
193,CCCCCOP(=O)(O/N=C(/Cl)\C)OCCCCC,4.09,47.67026,4.8405,-0.7505,Tr,38.10241,4.8242,-0.7342,ST,42.44303,4.6455,-0.5555,Ca
194,CCCCOP(=O)(O/N=C(\CCl)/Cl)OCCCC,6.06,50.5706,5.6103,0.4497,Va,40.09565,5.3758,0.6842,Va,45.9076,5.7002,0.3598,Va
195,COP(=O)(O/N=C(/Cl)\F)OC,4.76,46.37681,4.4972,0.2628,Tr,36.50211,4.3814,0.3786,ST,42.04235,4.5235,0.2365,Ca
196,CCOP(=O)(O/N=C(/Cl)\F)OCC,5.27,48.87205,5.1595,0.1105,Tr,39.20647,5.1297,0.1403,Ca,43.7863,5.0544,0.2156,ST
197,CCCOP(=O)(O/N=C(/Cl)\F)OCCC,5.18,49.9336,5.4412,-0.2612,Va,40.27967,5.4267,-0.2467,Va,44.84426,5.3765,-0.1965,Va
198,CCCCOP(=O)(O/N=C(/Cl)\F)OCCCC,5.29,50.99516,5.7229,-0.4329,Tr,41.35286,5.7237,-0.4337,ST,45.90221,5.6986,-0.4086,Ca
199,CCCCCOP(=O)(O/N=C(/Cl)\F)OCCCCC,5.99,52.05672,6.0047,-0.0147,Tr,42.42605,6.0206,-0.0306,Ca,46.96017,6.0206,-0.0306,ST
200,CCOP(=O)(O/N=C(\C(C)C)/Cl)OCC,2.78,43.78856,3.8103,-1.0303,Te,33.83137,3.6424,-0.8624,Te,37.21316,3.0533,-0.2733,Te
201,CC(OP(=O)(OC(C)C)O/N=C(/Cl)\C)C,4.93,43.33378,3.6896,1.2404,Tr,34.30016,3.7721,1.1579,ST,38.35312,3.4004,1.5296,Ca
202,CCCCCCOP(=O)(O/N=C(/Cl)\C)OCCCCCC,5,48.73181,5.1223,-0.1223,Tr,39.1756,5.1212,-0.1212,ST,43.50099,4.9676,0.0324,Ca
203,CCCCOP(=O)(O/N=C(\CC)/Cl)OCCCC,3.66,43.17498,3.6475,0.0125,Tr,34.1291,3.7248,-0.0648,Ca,39.13902,3.6396,0.0204,ST
204,CCCCOP(=O)(O/N=C(\CCC)/Cl)OCCCC,3.66,43.70576,3.7884,-0.1284,Te,34.6657,3.8732,-0.2132,Te,39.668,3.8007,-0.1407,Te
205,CCCCOP(=O)(O/N=C(\C(C)C)/Cl)OCCCC,3.61,45.91167,4.3738,-0.7638,Te,35.97775,4.2363,-0.6263,Te,39.32907,3.6975,-0.0875,Te
206,CCCCOP(=O)(O/N=C(\CCCC)/Cl)OCCCC,3.94,44.23654,3.9292,0.0108,Tr,35.20229,4.0217,-0.0817,Ca,40.19698,3.9617,-0.0217,ST
207,CCSP(=O)(O/N=C(/Cl)\F)SCC,5.91,51.01223,5.7275,0.1825,Te,41.30015,5.7091,0.2009,Te,45.95536,5.7147,0.1953,Te
208,CCCSP(=O)(O/N=C(/Cl)\F)SCCC,6.07,52.07378,6.0092,0.0608,Tr,42.37334,6.006,0.064,ST,47.01331,6.0368,0.0332,Ca
209,CCCCSP(=O)(O/N=C(/Cl)\F)SCCCC,6.23,53.13534,6.2909,-0.0609,Tr,43.44653,6.303,-0.073,ST,48.07127,6.3589,-0.1289,Ca
210,CC(CSP(=O)(O/N=C(/Cl)\F)SCC(C)C)C,6.1,51.53003,5.8649,0.2351,Va,41.20442,5.6826,0.4174,Va,46.3746,5.8424,0.2576,Va
211,CCCCCSP(=O)(O/N=C(/Cl)\F)SCCCCC,6.09,54.19689,6.5727,-0.4827,Te,44.51972,6.6,-0.51,Te,49.12923,6.681,-0.591,Te
212,CCOP(=O)(SCC1CCCN2C1CCCC2)OCC,4.32,49.85118,5.4193,-1.0993,Te,40.1481,5.3903,-1.0703,Te,45.10952,5.4572,-1.1372,Te
213,CCCOP(=O)(SCC1CCCN2C1CCCC2)OCCC,5.42,50.91274,5.7011,-0.2811,Te,41.22129,5.6872,-0.2672,Te,46.16748,5.7793,-0.3593,Te
214,CCCCOP(=O)(SCC1CCCN2C1CCCC2)OCCCC,6.05,51.9743,5.9828,0.0672,Tr,42.29448,5.9842,0.0658,ST,47.22544,6.1014,-0.0514,Ca
215,CCCCCOP(=O)(SCC1CCCN2C1CCCC2)OCCCCC,6.08,53.03585,6.2645,-0.1845,Tr,43.36767,6.2812,-0.2012,ST,48.2834,6.4235,-0.3435,Ca
216,CC(OP(=O)(OC(C)C)SCC1CCCN2C1CCCC2)C,4.08,46.13663,4.4335,-0.3535,Tr,36.65894,4.4248,-0.3448,ST,41.15878,4.2545,-0.1745,Ca
217,CC(COP(=O)(SCC1CCCN2C1CCCC2)OCC(C)C)C,6.44,52.05334,6.0038,0.4362,Tr,42.67839,6.0904,0.3496,Ca,47.27501,6.1165,0.3235,ST
218,CC(CCOP(=O)(SCC1CCCN2C1CCCC2)OCCC(C)C)C,6.77,53.83414,6.4764,0.2936,Te,44.03483,6.4658,0.3042,Te,48.83752,6.5922,0.1778,Te
219,CCOP(=O)(SCC1CCC[N+]2(C1CCCC2)C)OCC,5.05,52.24155,6.0537,-1.0037,Va,42.38373,6.0089,-0.9589,Va,47.35004,6.1393,-1.0893,Va
220,CCCOP(=O)(SCC1CCC[N+]2(C1CCCC2)C)OCCC,6.22,53.30311,6.3355,-0.1155,Te,43.45692,6.3059,-0.0859,Te,48.408,6.4614,-0.2414,Te
221,CCCCOP(=O)(SCC1CCC[N+]2(C1CCCC2)C)OCCCC,6.96,54.36466,6.6172,0.3428,Tr,44.53011,6.6028,0.3572,Ca,49.46595,6.7835,0.1765,ST
222,CCCCCOP(=O)(SCC1CCC[N+]2(C1CCCC2)C)OCCCCC,7.27,55.42622,6.8989,0.3711,Va,45.6033,6.8998,0.3702,Va,50.52391,7.1056,0.1644,Va
223,CC(OP(=O)(OC(C)C)SCC1CCC[N+]2(C1CCCC2)C)C,4.6,48.74407,5.1255,-0.5255,Tr,38.92044,5.0506,-0.4506,ST,44.21706,5.1856,-0.5856,Ca
224,CC(COP(=O)(SCC1CCC[N+]2(C1CCCC2)C)OCC(C)C)C,6.83,54.44371,6.6382,0.1918,Tr,44.91402,6.7091,0.1209,Ca,49.51552,6.7986,0.0314,ST
225,CC(CCOP(=O)(SCC1CCC[N+]2(C1CCCC2)C)OCCC(C)C)C,7.19,56.22451,7.1108,0.0792,Tr,46.27046,7.0844,0.1056,ST,51.07803,7.2742,-0.0842,Ca
226,CCOP(=O)(SCCN1CCCC2C1CCCC2)OCC,7.11,55.3642,6.8825,0.2275,Tr,45.26858,6.8072,0.3028,Ca,49.99535,6.9446,0.1654,ST
227,CCCOP(=O)(SCCN1CCCC2C1CCCC2)OCCC,7.36,56.42576,7.1642,0.1958,Tr,46.34177,7.1042,0.2558,Ca,51.05331,7.2667,0.0933,ST
228,CCCCOP(=O)(SCCN1CCCC2C1CCCC2)OCCCC,7.65,57.48731,7.4459,0.2041,Tr,47.41496,7.4011,0.2489,Ca,52.11127,7.5888,0.0612,ST
229,CCCCCOP(=O)(SCCN1CCCC2C1CCCC2)OCCCCC,7.43,58.54887,7.7276,-0.2976,Tr,48.48816,7.6981,-0.2681,ST,53.16923,7.9109,-0.4809,Ca
230,CC(OP(=O)(C(C)C)SCCN1CCCC2C1CCCC2)C,5.32,49.21939,5.2517,0.0683,Tr,39.24563,5.1406,0.1794,Ca,44.69404,5.3308,-0.0108,ST
231,CC(COP(=O)(OCC(C)C)SCCN1CCCC2C1CCCC2)C,7.38,55.00362,6.7868,0.5932,Tr,44.8924,6.7031,0.6769,ST,49.12612,6.68,0.7,Ca
232,CC(CCOP(=O)(SCCN1CCCC2C1CCCC2)OCCC(C)C)C,7.81,59.34716,7.9395,-0.1295,Tr,49.15532,7.8827,-0.0727,ST,53.72335,8.0796,-0.2696,Ca
233,CCOP(=O)(SCC[N+]1(C)CCCC2C1CCCC2)OCC,6.74,55.69635,6.9706,-0.2306,Tr,45.88235,6.977,-0.237,ST,50.68607,7.1549,-0.4149,Ca
234,CCCOP(=O)(SCC[N+]1(C)CCCC2C1CCCC2)OCCC,7,56.7579,7.2523,-0.2523,Va,46.95554,7.274,-0.274,Va,51.74403,7.477,-0.477,Va
235,CCCCOP(=O)(SCC[N+]1(C)CCCC2C1CCCC2)OCCCC,7.52,57.81946,7.5341,-0.0141,Te,48.02874,7.571,-0.051,Te,52.80199,7.7991,-0.2791,Te
236,CCCCCOP(=O)(SCC[N+]1(C)CCCC2C1CCCC2)OCCCCC,7.34,58.88101,7.8158,-0.4758,Te,49.10193,7.8679,-0.5279,Te,53.85995,8.1211,-0.7811,Te
237,CC(OP(=O)(OC(C)C)SCC[N+]1(C)CCCC2C1CCCC2)C,5.18,51.9818,5.9848,-0.8048,Tr,42.39319,6.0115,-0.8315,Ca,46.73533,5.9522,-0.7722,ST
238,CC(COP(=O)(OCC(C)C)SCC[N+]1(C)CCCC2C1CCCC2)C,7.43,55.33576,6.8749,0.5551,Tr,45.50617,6.8729,0.5571,Ca,49.81684,6.8903,0.5397,ST
239,CC(CCOP(=O)(SCC[N+]1(C)CCCC2C1CCCC2)OCCC(C)C)C,7.7,59.6793,8.0277,-0.3277,Tr,49.76909,8.0525,-0.3525,ST,54.41407,8.2898,-0.5898,Ca
240,CCOP(=O)(SCCN1CCCCC1c1cccnc1)OCC,5.11,51.55807,5.8723,-0.7623,Tr,41.46412,5.7544,-0.6444,Ca,46.23537,5.8,-0.69,ST
241,CCCOP(=O)(SCCN1CCCCC1c1cccnc1)OCCC,5.87,52.61962,6.1541,-0.2841,Tr,42.53731,6.0514,-0.1814,ST,47.29333,6.1221,-0.2521,Ca
242,CCCCOP(=O)(SCCN1CCCCC1c1cccnc1)OCCCC,6.54,53.68118,6.4358,0.1042,Te,43.6105,6.3484,0.1916,Te,48.35129,6.4441,0.0959,Te
243,CCCCCOP(=O)(SCCN1CCCC1c1cccnc1)OCCCCC,6,54.21196,6.5767,-0.5767,Tr,44.14709,6.4969,-0.4969,Ca,48.88027,6.6052,-0.6052,ST
244,CC(OP(=O)(OC(C)C)SCCN1CCCCC1c1cccnc1)C,4.72,48.77308,5.1332,-0.4132,Va,39.06294,5.09,-0.37,Va,43.34913,4.9213,-0.2013,Va
245,CC(COP(=O)(OCC(C)C)SCCN1CCCCC1c1cccnc1)C,6.26,52.12704,6.0233,0.2367,Va,42.17591,5.9514,0.3086,Va,46.43064,5.8594,0.4006,Va
246,CC(CCOP(=O)(SCCN1CCCCC1c1cccnc1)OCCC(C)C)C,6.67,55.54102,6.9294,-0.2594,Tr,45.35085,6.83,-0.16,ST,49.96337,6.9349,-0.2649,Ca
247,CCOP(=O)(SCC[N+]1(C)CCCCC1c1cccnc1)OCC,5.59,51.89021,5.9605,-0.3705,Tr,42.07789,5.9243,-0.3343,ST,46.92609,6.0103,-0.4203,Ca
248,CCCOP(=O)(SCC[N+]1(C)CCCCC1c1cccnc1)OCCC,6.56,52.95177,6.2422,0.3178,Tr,43.15108,6.2212,0.3388,ST,47.98405,6.3323,0.2277,Ca
249,CCCCOP(=O)(SCC[N+]1(C)CCCCC1c1cccnc1)OCCCC,7.15,54.01332,6.5239,0.6261,Tr,44.22427,6.5182,0.6318,Ca,49.04201,6.6544,0.4956,ST
250,CCCCCOP(=O)(SCC[N+]1(C)CCCCC1c1cccnc1)OCCCCC,7.18,55.07488,6.8057,0.3743,Te,45.29746,6.8152,0.3648,Te,50.09997,6.9765,0.2035,Te
251,CC(OP(=O)(OC(C)C)SCC[N+]1(C)CCCCC1c1cccnc1)C,5.7,49.10522,5.2214,0.4786,Tr,39.67671,5.2598,0.4402,Ca,44.03985,5.1316,0.5684,ST
252,CC(COP(=O)(OCC(C)C)SCC[N+]1(C)CCCCC1c1cccnc1)C,7.52,52.45919,6.1115,1.4085,Va,42.78968,6.1212,1.3988,Va,47.12136,6.0697,1.4503,Va
253,CC(CCOP(=O)(SCC[N+]1(C)CCCCC1c1cccnc1)OCCC(C)C)C,7.7,55.87317,7.0175,0.6825,Tr,45.96462,6.9998,0.7002,ST,50.65409,7.1452,0.5548,Ca
254,CCOP(=O)(OCC)SCCN1CC2CC(C1)c1n(C2)c(=O)ccc1,4.8,48.62066,5.0928,-0.2928,Tr,39.30168,5.1561,-0.3561,Ca,43.85763,5.0761,-0.2761,ST
255,CCCOP(=O)(OCCC)SCCN1CC2CC(C1)c1n(C2)c(=O)ccc1,5.08,49.68222,5.3745,-0.2945,Tr,40.37487,5.453,-0.373,Ca,44.91559,5.3982,-0.3182,ST
256,CCCCOP(=O)(OCCCC)SCCN1CC2CC(C1)c1n(C2)c(=O)ccc1,6.54,50.74378,5.6562,0.8838,Tr,41.44807,5.75,0.79,Ca,45.97355,5.7203,0.8197,ST
257,CCCCCOP(=O)(OCCCCC)SCCN1CC2CC(C1)c1n(C2)c(=O)ccc1,6.87,51.80533,5.938,0.932,Tr,42.52126,6.047,0.823,ST,47.03151,6.0424,0.8276,Ca
258,CC(OP(=O)(OC(C)C)SCCN1CC2CC(C1)c1n(C2)c(=O)ccc1)C,4.54,47.83475,4.8842,-0.3442,Tr,37.99694,4.795,-0.255,Ca,42.97615,4.8078,-0.2678,ST
259,CCOP(=O)(SCC[N+]1(C)CC2CC(C1)c1n(C2)c(=O)ccc1)OCC,5.04,50.95189,5.7115,-0.6715,Tr,41.01189,5.6293,-0.5893,ST,46.55312,5.8967,-0.8567,Ca
260,CCCOP(=O)(SCC[N+]1(C)CC2CC(C1)c1n(C2)c(=O)ccc1)OCCC,5.49,52.01344,5.9932,-0.5032,Te,42.08508,5.9263,-0.4363,Te,47.61108,6.2188,-0.7288,Te
261,CCCCOP(=O)(SCC[N+]1(C)CC2CC(C1)c1n(C2)c(=O)ccc1)OCCCC,6.04,53.075,6.2749,-0.2349,Te,43.15827,6.2232,-0.1832,Te,48.66903,6.5409,-0.5009,Te
262,CCCCCOP(=O)(SCC[N+]1(C)CC2CC(C1)c1n(C2)c(=O)ccc1)OCCCCC,6.36,54.13655,6.5566,-0.1966,Va,44.23146,6.5202,-0.1602,Va,49.72699,6.8629,-0.5029,Va
263,CC(OP(=O)(OC(C)C)SCC[N+]1(C)CC2CC(C1)c1n(C2)c(=O)ccc1)C,4.81,48.1669,4.9723,-0.1623,Tr,38.61071,4.9649,-0.1549,Ca,43.66688,5.0181,-0.2081,ST
264,COP(=O)(OC(C(F)(F)F)Oc1ccccc1)OC,2.33,38.0416,2.2851,0.0449,Tr,29.36584,2.4067,-0.0767,ST,34.64562,2.2717,0.0583,Ca
265,CCOP(=O)(OC(C(F)(F)F)Oc1ccccc1)OCC,2.78,40.53684,2.9474,-0.1674,Tr,32.07021,3.155,-0.375,Ca,36.38957,2.8026,-0.0226,ST
266,CCCCOP(=O)(OC(C(F)(F)F)Oc1ccccc1)OCCCC,4.28,42.65996,3.5108,0.7692,Te,34.21659,3.749,0.531,Te,38.50548,3.4468,0.8332,Te
267,COP(=O)(OC(C(F)(F)F)C(F)(F)F)OC,2.34,40.51251,2.9409,-0.6009,Tr,31.73904,3.0634,-0.7234,ST,37.0598,3.0067,-0.6667,Ca
268,CCOP(=O)(OC(C(F)(F)F)C(F)(F)F)OCC,2.94,43.00775,3.6031,-0.6631,Te,34.44341,3.8117,-0.8717,Te,38.80374,3.5376,-0.5976,Te
269,CCCCOP(=O)(OC(C(F)(F)F)C(F)(F)F)OCCCC,4.87,45.13086,4.1666,0.7034,Tr,36.58979,4.4057,0.4643,Ca,40.91966,4.1817,0.6883,ST
270,CCOC(=O)C(C(F)(F)F)OP(=O)(OC)OC,2.62,38.52053,2.4122,0.2078,Va,29.90232,2.5551,0.0649,Va,34.97561,2.3722,0.2478,Va
271,CCOC(=O)C(C(F)(F)F)OP(=O)(OCC)OCC,3.08,41.01817,3.0751,0.0049,Tr,32.07435,3.1562,-0.0762,Ca,36.88112,2.9523,0.1277,ST
272,CCCCOP(=O)(OC(C(F)(F)F)C(=O)OCC)OCCCC,3.82,44.047,3.8789,-0.0589,Tr,35.62569,4.1389,-0.3189,ST,40.1185,3.9378,-0.1178,Ca
273,CCCCOP(=O)(OCCCC)SC,3.87,41.34889,3.1629,0.7071,Tr,32.34417,3.2308,0.6392,ST,37.16353,3.0382,0.8318,Ca
274,CCCCOP(=O)(SCC)OCCCC,4.08,44.81811,4.0836,-0.0036,Tr,36.23455,4.3074,-0.2274,Ca,40.59721,4.0836,-0.0036,ST
275,CCCSP(=O)(OCCCC)OCCCC,3.93,42.59822,3.4944,0.4356,Va,33.22221,3.4738,0.4562,Va,38.24789,3.3684,0.5616,Va
276,CCCCOP(=O)(SCCCC)OCCCC,4.06,45.87966,4.3653,-0.3053,Te,37.30774,4.6043,-0.5443,Te,41.65517,4.4056,-0.3456,Te
277,CCCCCSP(=O)(OCCCC)OCCCC,4.32,43.65977,3.7762,0.5438,Te,34.29541,3.7708,0.5492,Te,39.30585,3.6904,0.6296,Te
278,CCCCCCSP(=O)(OCCCC)OCCCC,4.35,44.19055,3.917,0.433,Va,34.832,3.9193,0.4307,Va,39.83483,3.8515,0.4985,Va